ms,GPStime,lat,lon,yaw,pitch,roll
17100,234508.00,40.09514236,-88.24011993,39.061069,0.969466,-2.404580
17200,234508.00,40.09514236,-88.24011993,39.419846,4.839694,-0.366412
17300,234508.00,40.09514236,-88.24011993,38.954197,3.709924,-0.328244
17400,234509.00,40.09514236,-88.24011993,39.664124,0.587786,-2.763359
17500,234509.00,40.09509277,-88.24016571,38.671757,1.870229,-2.778626
17600,234509.00,40.09509277,-88.24016571,39.961834,-0.068702,-1.786260
17700,234509.00,40.09509277,-88.24016571,40.496181,2.641221,-4.160306
17800,234509.00,40.09509277,-88.24016571,41.541985,0.030534,-2.160305
17900,234509.00,40.09509277,-88.24016571,40.916031,4.244275,-2.404580
18000,234509.00,40.09509277,-88.24016571,42.419846,6.396946,-5.137404
18100,234509.00,40.09509277,-88.24016571,44.343510,-1.114504,0.381679
18200,234509.00,40.09509277,-88.24016571,42.877861,2.198473,-1.580153
18300,234510.00,40.09509277,-88.24016571,42.541985,5.129771,-4.160306
18400,234510.00,40.09503555,-88.24018860,44.862595,1.030534,-3.000000
18500,234510.00,40.09503555,-88.24018860,44.473282,6.099236,-2.312977
18600,234510.00,40.09503555,-88.24018860,45.656490,5.053435,-0.099237
18700,234510.00,40.09503555,-88.24018860,47.480915,3.015267,-2.824427
18800,234510.00,40.09503555,-88.24018860,49.717556,3.770992,0.312977
18900,234510.00,40.09503555,-88.24018860,48.809162,5.381680,-4.045802
19000,234510.00,40.09503555,-88.24018860,50.114502,3.229008,0.687023
19100,234510.00,40.09503555,-88.24018860,50.717556,4.190840,1.526718
19200,234510.00,40.09503555,-88.24018860,51.641220,4.129771,-6.419847
19300,234511.00,40.09503555,-88.24018860,50.648853,3.931298,-0.938931
19400,234511.00,40.09499741,-88.24016571,50.564884,4.908397,-2.381679
19500,234511.00,40.09499741,-88.24016571,51.564884,5.557252,-1.206107
19600,234511.00,40.09499741,-88.24016571,51.839695,4.610687,1.160305
19700,234511.00,40.09499741,-88.24016571,50.687023,5.580153,-1.778626
19800,234511.00,40.09499741,-88.24016571,51.908398,-2.091603,-6.427481
19900,234511.00,40.09499741,-88.24016571,54.175571,1.221374,2.671756
20000,234511.00,40.09499741,-88.24016571,51.732826,0.007634,-1.137405
20100,234511.00,40.09499741,-88.24016571,52.961834,2.786260,-2.137405
20200,234511.00,40.09499741,-88.24016571,53.114502,3.839695,-0.038168
20300,234512.00,40.09499741,-88.24016571,53.847328,3.244275,6.145038
20400,234512.00,40.09498978,-88.24007416,51.099236,5.106870,-2.717557
20500,234512.00,40.09498978,-88.24007416,51.664124,4.183206,-2.961832
20600,234512.00,40.09498978,-88.24007416,51.572517,4.343512,-2.671756
20700,234512.00,40.09498978,-88.24007416,51.244274,4.549618,-3.022901
20800,234512.00,40.09498978,-88.24007416,51.526718,2.213740,-0.694656
20900,234512.00,40.09498978,-88.24007416,51.106869,3.213740,-2.740458
21000,234512.00,40.09498978,-88.24007416,51.320610,4.603054,-2.083969
21100,234512.00,40.09498978,-88.24007416,51.374046,3.503817,-2.068702
21200,234513.00,40.09498978,-88.24007416,51.610687,3.236641,-2.893130
21300,234513.00,40.09498978,-88.24007416,51.549618,3.801527,-1.312977
21400,234513.00,40.09499741,-88.24005890,52.030533,3.221374,-0.786260
21500,234513.00,40.09499741,-88.24005890,51.839695,4.396946,-1.664122
21600,234513.00,40.09499741,-88.24005890,51.030533,5.885496,0.183206
21700,234513.00,40.09499741,-88.24005890,47.496181,4.175572,0.175573
21800,234513.00,40.09499741,-88.24005890,42.694656,4.748092,0.190840
21900,234513.00,40.09499741,-88.24005890,39.122139,3.717557,2.038168
22000,234513.00,40.09499741,-88.24005890,33.549618,2.854962,-1.015267
22100,234513.00,40.09499741,-88.24005890,30.541985,1.694656,-0.839695
22200,234514.00,40.09499741,-88.24005890,27.244274,1.900763,-0.145038
22300,234514.00,40.09503174,-88.24000549,23.954199,0.954198,-1.129771
22400,234514.00,40.09503174,-88.24000549,21.717558,1.381679,-0.160305
22500,234514.00,40.09503174,-88.24000549,19.519083,1.816794,-0.717557
22600,234514.00,40.09503174,-88.24000549,18.389313,0.854962,-1.587786
22700,234514.00,40.09503174,-88.24000549,16.984734,1.458015,-0.610687
22800,234514.00,40.09503174,-88.24000549,16.045801,0.366412,-1.061069
22900,234514.00,40.09503174,-88.24000549,15.000000,1.106870,-0.458015
23000,234514.00,40.09503174,-88.24000549,14.267176,0.419847,-0.534351
23100,234514.00,40.09503174,-88.24000549,13.893129,1.099237,-0.656489
23200,234515.00,40.09503174,-88.24000549,13.458015,0.908397,-0.938931
23300,234515.00,40.09505463,-88.24000549,13.702291,1.045802,-0.687023
23400,234515.00,40.09505463,-88.24000549,13.152672,0.519084,-0.877863
23500,234515.00,40.09505463,-88.24000549,13.076336,0.832061,-0.694656
23600,234515.00,40.09505463,-88.24000549,12.877863,0.473282,-0.603053
23700,234515.00,40.09505463,-88.24000549,12.961832,0.687023,-0.335878
23800,234515.00,40.09505463,-88.24000549,12.740458,0.816794,-0.549618
23900,234515.00,40.09505463,-88.24000549,12.610687,0.725191,-0.625954
24000,234515.00,40.09505463,-88.24000549,12.900764,0.595420,-0.488550
24100,234516.00,40.09505463,-88.24000549,12.534351,0.961832,-0.832061
24200,234516.00,40.09505463,-88.24000549,12.618320,1.152672,-0.687023
24300,234516.00,40.09506989,-88.24000549,12.687023,0.893130,-0.679389
